Tiempo (seg), Entrada 25 (%), Temperatura 1 (°C)
2.769480817317962646e+02,3.000000000000000000e+01,7.187999999999999545e+01
2.779506950378417969e+02,3.000000000000000000e+01,7.195999999999999375e+01
2.789492869377136230e+02,3.000000000000000000e+01,7.198000000000000398e+01
2.799529399871826172e+02,3.000000000000000000e+01,7.203000000000000114e+01
2.809580969810485840e+02,3.000000000000000000e+01,7.209999999999999432e+01
2.819600083827972412e+02,3.000000000000000000e+01,7.215000000000000568e+01
2.829620923995971680e+02,3.000000000000000000e+01,7.240000000000000568e+01
2.839673404693603516e+02,3.000000000000000000e+01,7.237000000000000455e+01
2.849707858562469482e+02,3.000000000000000000e+01,7.240000000000000568e+01
2.859738767147064209e+02,3.000000000000000000e+01,7.251999999999999602e+01
2.869773573875427246e+02,3.000000000000000000e+01,7.262000000000000455e+01
2.879700725078582764e+02,3.000000000000000000e+01,7.289000000000000057e+01
2.889703502655029297e+02,3.000000000000000000e+01,7.290999999999999659e+01
2.899634931087493896e+02,3.000000000000000000e+01,7.295999999999999375e+01
2.909689683914184570e+02,3.000000000000000000e+01,7.303000000000000114e+01
2.919725093841552734e+02,3.000000000000000000e+01,7.318000000000000682e+01
2.929660148620605469e+02,3.000000000000000000e+01,7.328000000000000114e+01
2.939718918800354004e+02,3.000000000000000000e+01,7.340000000000000568e+01
2.949738600254058838e+02,3.000000000000000000e+01,7.342000000000000171e+01
2.959721162319183350e+02,3.000000000000000000e+01,7.350000000000000000e+01
2.969705216884613037e+02,3.000000000000000000e+01,7.350000000000000000e+01
2.979627466201782227e+02,3.000000000000000000e+01,7.362000000000000455e+01
2.989657447338104248e+02,3.000000000000000000e+01,7.389000000000000057e+01
2.999690697193145752e+02,3.000000000000000000e+01,7.385999999999999943e+01
3.009680850505828857e+02,3.000000000000000000e+01,7.393999999999999773e+01
3.019587748050689697e+02,3.000000000000000000e+01,7.398000000000000398e+01
3.029517312049865723e+02,3.000000000000000000e+01,7.398000000000000398e+01
3.039567503929138184e+02,3.000000000000000000e+01,7.425000000000000000e+01
3.049605581760406494e+02,3.000000000000000000e+01,7.432999999999999829e+01
3.059603612422943115e+02,3.000000000000000000e+01,7.437999999999999545e+01
3.069634594917297363e+02,3.000000000000000000e+01,7.442000000000000171e+01
3.079566454887390137e+02,3.000000000000000000e+01,7.446999999999999886e+01
3.089620232582092285e+02,3.000000000000000000e+01,7.456999999999999318e+01
3.099668309688568115e+02,3.000000000000000000e+01,7.468999999999999773e+01
3.109727401733398438e+02,3.000000000000000000e+01,7.481000000000000227e+01
3.119779412746429443e+02,3.000000000000000000e+01,7.484000000000000341e+01
3.129733409881591797e+02,3.000000000000000000e+01,7.489000000000000057e+01
3.139765608310699463e+02,3.000000000000000000e+01,7.495999999999999375e+01
3.149814696311950684e+02,3.000000000000000000e+01,7.495999999999999375e+01
3.159858248233795166e+02,3.000000000000000000e+01,7.515999999999999659e+01
3.169868216514587402e+02,3.000000000000000000e+01,7.523000000000000398e+01
3.179893314838409424e+02,3.000000000000000000e+01,7.532999999999999829e+01
3.189804282188415527e+02,3.000000000000000000e+01,7.532999999999999829e+01
3.199830458164215088e+02,3.000000000000000000e+01,7.537999999999999545e+01
3.209876008033752441e+02,3.000000000000000000e+01,7.545000000000000284e+01
3.219892942905426025e+02,3.000000000000000000e+01,7.567000000000000171e+01
3.229880938529968262e+02,3.000000000000000000e+01,7.579000000000000625e+01
3.239794404506683350e+02,3.000000000000000000e+01,7.576999999999999602e+01
3.249700839519500732e+02,3.000000000000000000e+01,7.579000000000000625e+01
3.259732503890991211e+02,3.000000000000000000e+01,7.590999999999999659e+01
3.269770760536193848e+02,3.000000000000000000e+01,7.593999999999999773e+01
3.279680559635162354e+02,3.000000000000000000e+01,7.593999999999999773e+01
3.289594244956970215e+02,3.000000000000000000e+01,7.595999999999999375e+01
3.299509570598602295e+02,3.000000000000000000e+01,7.625000000000000000e+01
3.309417490959167480e+02,3.000000000000000000e+01,7.632999999999999829e+01
3.319409964084625244e+02,3.000000000000000000e+01,7.623000000000000398e+01
3.329453623294830322e+02,3.000000000000000000e+01,7.643000000000000682e+01
3.339381020069122314e+02,3.000000000000000000e+01,7.643000000000000682e+01
3.349307196140289307e+02,3.000000000000000000e+01,7.665000000000000568e+01
3.359218313694000244e+02,3.000000000000000000e+01,7.681999999999999318e+01
3.369270648956298828e+02,3.000000000000000000e+01,7.681999999999999318e+01
3.379180908203125000e+02,3.000000000000000000e+01,7.689000000000000057e+01
3.389238221645355225e+02,3.000000000000000000e+01,7.690999999999999659e+01
3.399165551662445068e+02,3.000000000000000000e+01,7.707999999999999829e+01
3.409085199832916260e+02,3.000000000000000000e+01,7.729999999999999716e+01
3.419003789424896240e+02,3.000000000000000000e+01,7.726000000000000512e+01
3.428945033550262451e+02,3.000000000000000000e+01,7.732999999999999829e+01
3.438979661464691162e+02,3.000000000000000000e+01,7.732999999999999829e+01
3.449021348953247070e+02,3.000000000000000000e+01,7.740000000000000568e+01
3.459039330482482910e+02,3.000000000000000000e+01,7.743000000000000682e+01
3.469035065174102783e+02,3.000000000000000000e+01,7.745000000000000284e+01
3.479009115695953369e+02,3.000000000000000000e+01,7.756999999999999318e+01
3.489048676490783691e+02,3.000000000000000000e+01,7.779000000000000625e+01
3.499034900665283203e+02,3.000000000000000000e+01,7.779000000000000625e+01
3.509083008766174316e+02,3.000000000000000000e+01,7.776999999999999602e+01
3.519130959510803223e+02,3.000000000000000000e+01,7.787000000000000455e+01
3.529155027866363525e+02,3.000000000000000000e+01,7.784000000000000341e+01
3.539082896709442139e+02,3.000000000000000000e+01,7.789000000000000057e+01
3.549059374332427979e+02,3.000000000000000000e+01,7.793999999999999773e+01
3.559080104827880859e+02,3.000000000000000000e+01,7.801000000000000512e+01
3.569089870452880859e+02,3.000000000000000000e+01,7.826000000000000512e+01
3.579145283699035645e+02,3.000000000000000000e+01,7.826000000000000512e+01
3.589168367385864258e+02,3.000000000000000000e+01,7.831000000000000227e+01
3.599181101322174072e+02,3.000000000000000000e+01,7.832999999999999829e+01
3.609232008457183838e+02,3.000000000000000000e+01,7.834999999999999432e+01
3.619268281459808350e+02,3.000000000000000000e+01,7.837999999999999545e+01
3.629286990165710449e+02,3.000000000000000000e+01,7.848000000000000398e+01
3.639321320056915283e+02,3.000000000000000000e+01,7.865000000000000568e+01
3.649376480579376221e+02,3.000000000000000000e+01,7.875000000000000000e+01
3.659290738105773926e+02,3.000000000000000000e+01,7.871999999999999886e+01
3.669338977336883545e+02,3.000000000000000000e+01,7.876999999999999602e+01
3.679358532428741455e+02,3.000000000000000000e+01,7.881999999999999318e+01
3.689276494979858398e+02,3.000000000000000000e+01,7.887000000000000455e+01
3.699193940162658691e+02,3.000000000000000000e+01,7.881999999999999318e+01
3.709144444465637207e+02,3.000000000000000000e+01,7.892000000000000171e+01
3.719091281890869141e+02,3.000000000000000000e+01,7.910999999999999943e+01
3.729121429920196533e+02,3.000000000000000000e+01,7.920999999999999375e+01
3.739180953502655029e+02,3.000000000000000000e+01,7.926000000000000512e+01
3.749138104915618896e+02,3.000000000000000000e+01,7.926000000000000512e+01
3.759137949943542480e+02,3.000000000000000000e+01,7.931000000000000227e+01
3.769114000797271729e+02,3.000000000000000000e+01,7.935999999999999943e+01
3.779035353660583496e+02,3.000000000000000000e+01,7.935999999999999943e+01
3.789065959453582764e+02,3.000000000000000000e+01,7.943000000000000682e+01
3.799072201251983643e+02,3.000000000000000000e+01,7.962000000000000455e+01
3.809102892875671387e+02,3.000000000000000000e+01,7.967000000000000171e+01
3.819094369411468506e+02,3.000000000000000000e+01,7.976999999999999602e+01
3.829117527008056641e+02,3.000000000000000000e+01,7.981999999999999318e+01
